"id","time","post","D","group_did","Z_encourage","arm_rct","assign_rct","rdd_score","eligible_rdd","cluster_id","region","urban","age","female","ses","hh_size","indig","dist_km","baseline_ability","y","Y0","Y1","tau_i"
1,0,0,0,0,0,0,NA,-10.7790084515458,0,31,"1",1,21,1,2,4,1,4.4,53,83.0099748410211,82.0192636611547,88.0192636611547,6
1,1,1,1,0,0,0,NA,-10.7790084515458,0,31,"1",1,21,1,2,4,1,4.4,53,101.779759216643,85.5192636611547,91.5192636611547,6
2,0,0,0,1,0,1,1,4.70083964490482,1,79,"1",1,29,0,1,1,0,12.3,53,100.185931275706,88.357393753375,97.357393753375,9
2,1,1,0,1,0,1,1,4.70083964490482,1,79,"1",1,29,0,1,1,0,12.3,53,87.5224797618682,91.857393753375,100.857393753375,9
3,0,0,0,0,1,0,NA,3.04635368532779,1,51,"2",1,30,0,2,2,0,4.5,46,78.1376997810813,81.0804469755454,89.5804469755454,8.5
3,1,1,1,0,1,0,NA,3.04635368532779,1,51,"2",1,30,0,2,2,0,4.5,46,92.9240591795158,84.5804469755454,93.0804469755454,8.5
4,0,0,0,1,0,1,1,-7.92363966485064,0,14,"1",1,26,1,2,4,0,1.4,42,85.2613472143152,79.1953554708922,85.1953554708922,6
4,1,1,1,1,0,1,1,-7.92363966485064,0,14,"1",1,26,1,2,4,0,1.4,42,91.3667612786213,82.6953554708922,88.6953554708922,6
5,0,0,0,0,1,1,0,9.25651190771743,1,67,"1",0,18,0,3,6,0,4.3,66,86.9842068810578,82.9391043558934,90.9391043558934,8
5,1,1,0,0,1,1,0,9.25651190771743,1,67,"1",0,18,0,3,6,0,4.3,66,82.1511322245248,86.4391043558934,94.4391043558934,8
6,0,0,0,1,0,0,NA,12.3687618530599,1,42,"2",1,25,1,3,1,0,6.5,67,96.036755963005,90.6765760765651,97.6765760765651,7
6,1,1,1,1,0,0,NA,12.3687618530599,1,42,"2",1,25,1,3,1,0,6.5,67,94.870887300988,94.1765760765651,101.176576076565,7
7,0,0,0,0,1,0,NA,-9.720469257929,0,50,"1",1,34,1,2,2,1,2.7,42,75.1622999535271,76.1342405370724,82.1342405370724,6
7,1,1,1,0,1,0,NA,-9.720469257929,0,50,"1",1,34,1,2,2,1,2.7,42,84.5763183430474,79.6342405370724,85.6342405370724,6
8,0,0,0,0,0,0,NA,-9.8868376549241,0,43,"1",1,39,0,1,3,0,5,60,93.8208185558918,93.2702080562976,100.770208056298,7.5
8,1,1,1,0,0,0,NA,-9.8868376549241,0,43,"1",1,39,0,1,3,0,5,60,102.023801903912,96.7702080562976,104.270208056298,7.5
9,0,0,0,1,0,1,0,8.71358066706333,1,14,"1",1,40,1,2,3,0,4.6,37,80.4083442201099,80.6953554708922,88.1953554708922,7.5
